"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Langedijke";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Langelille";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Langelo";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Langenboom";"Mill en Sint Hubert                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Langerak";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Langeveen";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Langeweg";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Langezwaag";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Langweer";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Laren";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Laren";"Laren                              ";"Noord-Holland            ";"West-Nederland           "
"Lathum";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Lattrop-Breklenkamp";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Lauwersoog";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Lauwerzijl";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Ledeacker";"Sint Anthonis                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Leek";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Leende";"Heeze-Leende                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Leens";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Leerbroek";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Leerdam";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Leermens";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Leersum";"Utrechtse Heuvelrug                ";"Utrecht                  ";"West-Nederland           "
"Leeuwarden";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Legemeer";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Leiden";"Leiden                             ";"Zuid-Holland             ";"West-Nederland           "
"Leiderdorp";"Leiderdorp                         ";"Zuid-Holland             ";"West-Nederland           "
"Leidschendam";"Leidschendam-Voorburg              ";"Zuid-Holland             ";"West-Nederland           "
"Leimuiden";"Kaag en Braassem                   ";"Zuid-Holland             ";"West-Nederland           "
"Leimuiderbrug";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Lekkerkerk";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Lekkum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Lellens";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Lelystad";"Lelystad                           ";"Flevoland                ";"Oost-Nederland           "
"Lemele";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Lemelerveld";"Dalfsen                            ";"Overijssel               ";"Oost-Nederland           "
"Lemiers";"Vaals                              ";"Limburg                  ";"Zuid-Nederland           "
"Lemmer";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Lengel";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Lent";"Nijmegen                           ";"Gelderland               ";"Oost-Nederland           "
"Leons";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Lepelstraat";"Bergen op Zoom                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lettelbert";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Lettele";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Leunen";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Leur";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Leusden";"Leusden                            ";"Utrecht                  ";"West-Nederland           "
"Leuth";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Leutingewolde";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Leuvenheim";"Brummen                            ";"Gelderland               ";"Oost-Nederland           "
"Leveroy";"Nederweert                         ";"Limburg                  ";"Zuid-Nederland           "
"Lewedorp";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Lexmond";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Lichtaard";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Lichtenvoorde";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Liempde";"Boxtel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lienden";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"De Lier";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Lierderholthuis";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Lieren";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Lierop";"Someren                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lies";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Lieshout";"Laarbeek                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Liessel";"Deurne                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lievelde";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Lieveren";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Lijnden";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Limbricht";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Limmen";"Castricum                          ";"Noord-Holland            ";"West-Nederland           "
"Linde";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Linden";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Linne";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Linschoten";"Montfoort                          ";"Utrecht                  ";"West-Nederland           "
"Lioessens";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Lippenhuizen";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Lisse";"Lisse                              ";"Zuid-Holland             ";"West-Nederland           "
"Lisserbroek";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Lith";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lithoijen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lobith";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Lochem";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Loenen";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Loenen aan de Vecht";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Loenersloot";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Loënga";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Loerbeek";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Lollum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Lomm";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Longerhouw";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Loo Gld";"Duiven                             ";"Gelderland               ";"Oost-Nederland           "
"Loo Gld";"Lingewaard                         ";"Gelderland               ";"Oost-Nederland           "
"'t Loo Oldebroek";"Oldebroek                          ";"Gelderland               ";"Oost-Nederland           "
"Loon";"Assen                              ";"Drenthe                  ";"Noord-Nederland          "
"Loon op Zand";"Loon op Zand                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Loosbroek";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Loosdrecht";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"Loozen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Lopik";"Lopik                              ";"Utrecht                  ";"West-Nederland           "
"Lopikerkapel";"Lopik                              ";"Utrecht                  ";"West-Nederland           "
"Loppersum";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Losdorp";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Losser";"Losser                             ";"Overijssel               ";"Oost-Nederland           "
"Lottum";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Lucaswolde";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Luddeweer";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Luinjeberd";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Lunteren";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Lutjebroek";"Stede Broec                        ";"Noord-Holland            ";"West-Nederland           "
"Lutjegast";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Lutjewinkel";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"de Lutte";"Losser                             ";"Overijssel               ";"Oost-Nederland           "
"Luttelgeest";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Lutten";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Luttenberg";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Luxwoude";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Luyksgestel";"Bergeijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Lytsewierrum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Maarheeze";"Cranendonck                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Maarn";"Utrechtse Heuvelrug                ";"Utrecht                  ";"West-Nederland           "
"Maarsbergen";"Utrechtse Heuvelrug                ";"Utrecht                  ";"West-Nederland           "
"Maarssen";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Maartensdijk";"De Bilt                            ";"Utrecht                  ";"West-Nederland           "
"Maasbommel";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Maasbracht";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Maasbree";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Maasdam";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Maasdijk";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Maashees";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Maasland";"Midden-Delfland                    ";"Zuid-Holland             ";"West-Nederland           "
"Maassluis";"Maassluis                          ";"Zuid-Holland             ";"West-Nederland           "
"Maastricht";"Maastricht                         ";"Limburg                  ";"Zuid-Nederland           "
"Maastricht-Airport";"Beek                               ";"Limburg                  ";"Zuid-Nederland           "
"Maasvlakte Rotterdam";"Rotterdam                          ";"Zuid-Holland             ";"West-Nederland           "
"Macharen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Made";"Drimmelen                          ";"Noord-Brabant            ";"Zuid-Nederland           "
"Makkinga";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Makkum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Malden";"Heumen                             ";"Gelderland               ";"Oost-Nederland           "
"Mander";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Manderveen";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Mantgum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Mantinge";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Maren-Kessel";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Margraten";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Maria Hoop";"Echt-Susteren                      ";"Limburg                  ";"Zuid-Nederland           "
"Mariahout";"Laarbeek                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Mariaparochie";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Mariënberg";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Mariënheem";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Mariënvelde";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Marijenkampen";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Markelo";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Marken";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Markenbinnen";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Marknesse";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Marle";"Olst-Wijhe                         ";"Overijssel               ";"Oost-Nederland           "
"Marrum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Marsum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Marum";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Marwijksoord";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Mastenbroek";"Zwartewaterland                    ";"Overijssel               ";"Oost-Nederland           "
"Mastenbroek";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"Matsloot";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Maurik";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Mechelen";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Medemblik";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Meeden";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Meedhuizen";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Meerkerk";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Meerlo";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"De Meern";"Utrecht                            ";"Utrecht                  ";"West-Nederland           "
"Meerssen";"Meerssen                           ";"Limburg                  ";"Zuid-Nederland           "
"Meerstad";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Meeuwen";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Megchelen";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Megen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Meijel";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Melderslo";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Melick";"Roerdalen                          ";"Limburg                  ";"Zuid-Nederland           "
"Meliskerke";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Melissant";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Menaam";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Mensingeweer";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Meppel";"Meppel                             ";"Drenthe                  ";"Noord-Nederland          "
"Meppen";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Merkelbeek";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Merselo";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Meteren";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Meterik";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Metslawier";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Mheer";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Middelaar";"Mook en Middelaar                  ";"Limburg                  ";"Zuid-Nederland           "
"Middelburg";"Middelburg                         ";"Zeeland                  ";"West-Nederland           "
"Middelharnis";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Middelie";"Edam-Volendam                      ";"Noord-Holland            ";"West-Nederland           "
"Middelstum";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Middenbeemster";"Beemster                           ";"Noord-Holland            ";"West-Nederland           "
"Middenmeer";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Midlaren";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Midlum";"Harlingen                          ";"Friesland                ";"Noord-Nederland          "
"Midsland";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Midwolda";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Midwolde";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Midwoud";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Miedum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Mierlo";"Geldrop-Mierlo                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Mijdrecht";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Mijnsheerenland";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Mildam";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Milheeze";"Gemert-Bakel                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Mill";"Mill en Sint Hubert                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Millingen aan de Rijn";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Milsbeek";"Gennep                             ";"Limburg                  ";"Zuid-Nederland           "
"Minnertsga";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Mirns";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Moddergat";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"De Moer";"Loon op Zand                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Moerdijk";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Moergestel";"Oisterwijk                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Moerkapelle";"Zuidplas                           ";"Zuid-Holland             ";"West-Nederland           "
"Moerstraten";"Roosendaal                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Molenaarsgraaf";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Molenhoek";"Mook en Middelaar                  ";"Limburg                  ";"Zuid-Nederland           "
"Molenschot";"Gilze en Rijen                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Molkwerum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Monnickendam";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Monster";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Montfoort";"Montfoort                          ";"Utrecht                  ";"West-Nederland           "
"Montfort";"Roerdalen                          ";"Limburg                  ";"Zuid-Nederland           "
"Mook";"Mook en Middelaar                  ";"Limburg                  ";"Zuid-Nederland           "
"Mookhoek";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Moordrecht";"Zuidplas                           ";"Zuid-Holland             ";"West-Nederland           "
"Moorveld";"Meerssen                           ";"Limburg                  ";"Zuid-Nederland           "
"Morra";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"De Mortel";"Gemert-Bakel                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Muiden";"Gooise Meren                       ";"Noord-Holland            ";"West-Nederland           "
"Muiderberg";"Gooise Meren                       ";"Noord-Holland            ";"West-Nederland           "
"Mûnein";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Munnekeburen";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Munnekezijl";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Munstergeleen";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Muntendam";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Mussel";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Musselkanaal";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Naaldwijk";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Naarden";"Gooise Meren                       ";"Noord-Holland            ";"West-Nederland           "
"Nagele";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Nederasselt";"Heumen                             ";"Gelderland               ";"Oost-Nederland           "
"Nederhemert";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Nederhorst den Berg";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"Nederland";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Nederweert";"Nederweert                         ";"Limburg                  ";"Zuid-Nederland           "
"Nederweert-Eind";"Nederweert                         ";"Limburg                  ";"Zuid-Nederland           "
"Neede";"Berkelland                         ";"Gelderland               ";"Oost-Nederland           "
"Neer";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Neerijnen";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Neeritter";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Neerkant";"Deurne                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Neerlangel";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Neerloon";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nes";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Nes";"Ameland                            ";"Friesland                ";"Noord-Nederland          "
"Nes";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Netersel";"Bladel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Netterden";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Niawier";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Nibbixwoud";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Niebert";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Niehove";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Niekerk";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Niekerk";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Nietap";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw Annerveen";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw Beerta";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Nieuw- en Sint Joosland";"Middelburg                         ";"Zeeland                  ";"West-Nederland           "
"Nieuw Heeten";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Nieuw Namen";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Nieuw Scheemda";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Nieuwaal";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Nieuw-Amsterdam";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw-Balinge";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw-Beijerland";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Nieuw-Buinen";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw-Dordrecht";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Nieuwdorp";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Nieuwe Niedorp";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Nieuwe Pekela";"Pekela                             ";"Groningen                ";"Noord-Nederland          "
"Nieuwe Wetering";"Kaag en Braassem                   ";"Zuid-Holland             ";"West-Nederland           "
"Nieuwebrug";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Nieuwediep";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Nieuwegein";"Nieuwegein                         ";"Utrecht                  ";"West-Nederland           "
"Nieuwehorne";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Nieuwendijk";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nieuwer Ter Aa";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Nieuwerbrug aan den Rijn";"Bodegraven-Reeuwijk                ";"Zuid-Holland             ";"West-Nederland           "
"Nieuwerkerk";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Nieuwerkerk aan den IJssel";"Zuidplas                           ";"Zuid-Holland             ";"West-Nederland           "
"Nieuweroord";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Nieuweroord";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Nieuwersluis";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Nieuweschoot";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Nieuwe-Tonge";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Nieuwkoop";"Nieuwkoop                          ";"Zuid-Holland             ";"West-Nederland           "
"Nieuwkuijk";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nieuwland";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Nieuwlande";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Nieuwlande Coevorden";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw-Lekkerland";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Nieuwleusen";"Dalfsen                            ";"Overijssel               ";"Oost-Nederland           "
"Nieuwolda";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Nieuwpoort";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Nieuw-Roden";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Nieuw-Schoonebeek";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Nieuwstadt";"Echt-Susteren                      ";"Limburg                  ";"Zuid-Nederland           "
"Nieuwveen";"Nieuwkoop                          ";"Zuid-Holland             ";"West-Nederland           "
"Nieuw-Vennep";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Nieuwvliet";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Nieuw-Vossemeer";"Steenbergen                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nieuw-Weerdinge";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Niezijl";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Niftrik";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Nigtevecht";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Nij Altoenae";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Nij Beets";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Nijbroek";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Nijeberkoop";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nijega";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Nijehaske";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Nijeholtpade";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nijeholtwolde";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nijelamer";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nijemirdum";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Nijensleek";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Nijetrijne";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nijeveen";"Meppel                             ";"Drenthe                  ";"Noord-Nederland          "
"Nijhuizum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Nijkerk";"Nijkerk                            ";"Gelderland               ";"Oost-Nederland           "
"Nijkerkerveen";"Nijkerk                            ";"Gelderland               ";"Oost-Nederland           "
"Nijland";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Nijlande";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
