,Woonplaatsen,Gemeente,Provincie,Landsdeel
894,'s-Heer Abtskerke,Borsele,Zeeland,West-Nederland
895,'s-Heer Arendskerke,Goes,Zeeland,West-Nederland
896,'s-Heer Hendrikskinderen,Goes,Zeeland,West-Nederland
897,Heerde,Heerde,Gelderland,Oost-Nederland
898,'s-Heerenberg,Montferland,Gelderland,Oost-Nederland
899,'s-Heerenbroek,Kampen,Overijssel,Oost-Nederland
900,'s-Heerenhoek,Borsele,Zeeland,West-Nederland
901,Heerenveen,Heerenveen,Friesland,Noord-Nederland
902,Heerewaarden,Maasdriel,Gelderland,Oost-Nederland
903,Heerhugowaard,Heerhugowaard,Noord-Holland,West-Nederland
904,Heerjansdam,Zwijndrecht,Zuid-Holland,West-Nederland
905,Heerle,Roosendaal,Noord-Brabant,Zuid-Nederland
906,Heerlen,Heerlen,Limburg,Zuid-Nederland
907,Heesbeen,Heusden,Noord-Brabant,Zuid-Nederland
908,Bron: CBS,,,
909,West-Graftdijk,Alkmaar,Noord-Holland,West-Nederland
910,Westhem,Súdwest-Fryslân,Friesland,Noord-Nederland
911,Westhoek,Waadhoeke,Friesland,Noord-Nederland
912,Westkapelle,Veere,Zeeland,West-Nederland
913,Westknollendam,Zaanstad,Noord-Holland,West-Nederland
914,Westmaas,HoekscheWaard,Zuid-Holland,West-Nederland
915,West-Terschelling,Terschelling,Friesland,Noord-Nederland
916,Westwoud,Drechterland,Noord-Holland,West-Nederland
917,Westzaan,Zaanstad,Noord-Holland,West-Nederland
918,Wetering,Steenwijkerland,Overijssel,Oost-Nederland
919,Weteringbrug,Haarlemmermeer,Noord-Holland,West-Nederland
920,Wetsens,Noardeast-Fryslân,Friesland,Noord-Nederland
921,Wetsinge,HetHogeland,Groningen,Noord-Nederland
922,Weurt,Beuningen,Gelderland,Oost-Nederland
923,Wezep,Oldebroek,Gelderland,Oost-Nederland
924,Wezup,Coevorden,Drenthe,Noord-Nederland
925,Wezuperbrug,Coevorden,Drenthe,Noord-Nederland
926,Wichmond,Bronckhorst,Gelderland,Oost-Nederland
927,Wier,Waadhoeke,Friesland,Noord-Nederland
928,Wierden,Wierden,Overijssel,Oost-Nederland
929,Wieringerwaard,HollandsKroon,Noord-Holland,West-Nederland
930,Wieringerwerf,HollandsKroon,Noord-Holland,West-Nederland
931,Wierum,Noardeast-Fryslân,Friesland,Noord-Nederland
932,Wijchen,Wijchen,Gelderland,Oost-Nederland
933,Wijckel,DeFryskeMarren,Friesland,Noord-Nederland
934,Wijdenes,Drechterland,Noord-Holland,West-Nederland
935,Wijdewormer,Wormerland,Noord-Holland,West-Nederland
936,Wijhe,Olst-Wijhe,Overijssel,Oost-Nederland
937,de Wijk,DeWolden,Drenthe,Noord-Nederland
938,Wijk aan Zee,Beverwijk,Noord-Holland,West-Nederland
939,Wijk bij Duurstede,WijkbijDuurstede,Utrecht,West-Nederland
940,Wijk en Aalburg,Altena,Noord-Brabant,Zuid-Nederland
941,Wijlre,Gulpen-Wittem,Limburg,Zuid-Nederland
942,Wijnaldum,Harlingen,Friesland,Noord-Nederland
943,Wijnandsrade,Beekdaelen,Limburg,Zuid-Nederland
944,Wijnbergen,Montferland,Gelderland,Oost-Nederland
945,Wijngaarden,Molenlanden,Zuid-Holland,West-Nederland
946,Wijnjewoude,Opsterland,Friesland,Noord-Nederland
947,Wijster,Midden-Drenthe,Drenthe,Noord-Nederland
948,Wilbertoord,MillenSintHubert,Noord-Brabant,Zuid-Nederland
949,Wildervank,Veendam,Groningen,Noord-Nederland
950,De Wilgen,Smallingerland,Friesland,Noord-Nederland
951,Wilhelminadorp,Goes,Zeeland,West-Nederland
952,Wilhelminaoord,Westerveld,Drenthe,Noord-Nederland
953,Willemsoord,Steenwijkerland,Overijssel,Oost-Nederland
954,Willemstad,Moerdijk,Noord-Brabant,Zuid-Nederland
955,Wilnis,DeRondeVenen,Utrecht,West-Nederland
956,Wilp,Voorst,Gelderland,Oost-Nederland
957,De Wilp,Westerkwartier,Groningen,Noord-Nederland
958,Wilsum,Kampen,Overijssel,Oost-Nederland
959,Winde,Tynaarlo,Drenthe,Noord-Nederland
960,Windraak,Sittard-Geleen,Limburg,Zuid-Nederland
961,Winkel,HollandsKroon,Noord-Holland,West-Nederland
962,Winneweer,Groningen,Groningen,Noord-Nederland
963,Winschoten,Oldambt,Groningen,Noord-Nederland
964,Winssen,Beuningen,Gelderland,Oost-Nederland
965,Winsum,Waadhoeke,Friesland,Noord-Nederland
966,Winsum,HetHogeland,Groningen,Noord-Nederland
967,Wintelre,Eersel,Noord-Brabant,Zuid-Nederland
968,Winterswijk,Winterswijk,Gelderland,Oost-Nederland
969,Winterswijk Brinkheurne,Winterswijk,Gelderland,Oost-Nederland
970,Winterswijk Corle,Winterswijk,Gelderland,Oost-Nederland
971,Winterswijk Henxel,Winterswijk,Gelderland,Oost-Nederland
972,Winterswijk Huppel,Winterswijk,Gelderland,Oost-Nederland
973,Winterswijk Kotten,Winterswijk,Gelderland,Oost-Nederland
974,Winterswijk Meddo,Winterswijk,Gelderland,Oost-Nederland
975,Winterswijk Miste,Winterswijk,Gelderland,Oost-Nederland
976,Winterswijk Ratum,Winterswijk,Gelderland,Oost-Nederland
977,Winterswijk Woold,Winterswijk,Gelderland,Oost-Nederland
978,Wirdum,Loppersum,Groningen,Noord-Nederland
979,Wirdum,Leeuwarden,Friesland,Noord-Nederland
980,Wissenkerke,Noord-Beveland,Zeeland,West-Nederland
981,Witharen,Ommen,Overijssel,Oost-Nederland
982,Witmarsum,Súdwest-Fryslân,Friesland,Noord-Nederland
983,Witte Paarden,Steenwijkerland,Overijssel,Oost-Nederland
984,Wittelte,Westerveld,Drenthe,Noord-Nederland
985,Wittem,Gulpen-Wittem,Limburg,Zuid-Nederland
986,Witteveen,Midden-Drenthe,Drenthe,Noord-Nederland
987,Wiuwert,Súdwest-Fryslân,Friesland,Noord-Nederland
988,Wjelsryp,Waadhoeke,Friesland,Noord-Nederland
989,Woensdrecht,Woensdrecht,Noord-Brabant,Zuid-Nederland
990,Woerden,Woerden,Utrecht,West-Nederland
991,Woerdense Verlaat,Nieuwkoop,Zuid-Holland,West-Nederland
992,Wognum,Medemblik,Noord-Holland,West-Nederland
993,Woldendorp,Delfzijl,Groningen,Noord-Nederland
994,Wolfheze,Renkum,Gelderland,Oost-Nederland
995,Wolphaartsdijk,Goes,Zeeland,West-Nederland
996,Wolsum,Súdwest-Fryslân,Friesland,Noord-Nederland
997,Woltersum,Groningen,Groningen,Noord-Nederland
998,Wolvega,Weststellingwerf,Friesland,Noord-Nederland
999,Wommels,Súdwest-Fryslân,Friesland,Noord-Nederland
1000,Wons,Súdwest-Fryslân,Friesland,Noord-Nederland
1001,Workum,Súdwest-Fryslân,Friesland,Noord-Nederland
1002,Wormer,Wormerland,Noord-Holland,West-Nederland
1003,Wormerveer,Zaanstad,Noord-Holland,West-Nederland
1004,Woubrugge,KaagenBraassem,Zuid-Holland,West-Nederland
1005,Woudbloem,Midden-Groningen,Groningen,Noord-Nederland
1006,de Woude,Castricum,Noord-Holland,West-Nederland
1007,Woudenberg,Woudenberg,Utrecht,West-Nederland
1008,Woudrichem,Altena,Noord-Brabant,Zuid-Nederland
1009,Bron: CBS,,,
1010,De Punt,Tynaarlo,Drenthe,Noord-Nederland
1011,Punthorst,Staphorst,Overijssel,Oost-Nederland
1012,Purmer,Edam-Volendam,Noord-Holland,West-Nederland
1013,Purmer,Waterland,Noord-Holland,West-Nederland
1014,Purmerend,Purmerend,Noord-Holland,West-Nederland
1015,Purmerland,Landsmeer,Noord-Holland,West-Nederland
1016,Puth,Beekdaelen,Limburg,Zuid-Nederland
1017,Putte,Woensdrecht,Noord-Brabant,Zuid-Nederland
1018,Putten,Putten,Gelderland,Oost-Nederland
1019,Puttershoek,HoekscheWaard,Zuid-Holland,West-Nederland
1020,Raalte,Raalte,Overijssel,Oost-Nederland
1021,Raamsdonk,Geertruidenberg,Noord-Brabant,Zuid-Nederland
1022,Raamsdonksveer,Geertruidenberg,Noord-Brabant,Zuid-Nederland
1023,Raard,Noardeast-Fryslân,Friesland,Noord-Nederland
1024,Radewijk,Hardenberg,Overijssel,Oost-Nederland
1025,Radio Kootwijk,Apeldoorn,Gelderland,Oost-Nederland
1026,Raerd,Súdwest-Fryslân,Friesland,Noord-Nederland
1027,Randwijk,Overbetuwe,Gelderland,Oost-Nederland
1028,Ransdaal,Voerendaal,Limburg,Zuid-Nederland
1029,Rasquert,HetHogeland,Groningen,Noord-Nederland
1030,Ravenstein,Oss,Noord-Brabant,Zuid-Nederland
1031,Ravenswaaij,Buren,Gelderland,Oost-Nederland
1032,Ravenswoud,Ooststellingwerf,Friesland,Noord-Nederland
1033,Readtsjerk,Dantumadiel,Friesland,Noord-Nederland
1034,Reahûs,Súdwest-Fryslân,Friesland,Noord-Nederland
1035,Reduzum,Leeuwarden,Friesland,Noord-Nederland
1036,Reek,Landerd,Noord-Brabant,Zuid-Nederland
1037,Reeuwijk,Bodegraven-Reeuwijk,Zuid-Holland,West-Nederland
1038,Reijmerstok,Gulpen-Wittem,Limburg,Zuid-Nederland
1039,Reitsum,Noardeast-Fryslân,Friesland,Noord-Nederland
1040,Rekken,Berkelland,Gelderland,Oost-Nederland
1041,Renesse,Schouwen-Duiveland,Zeeland,West-Nederland
1042,Renkum,Renkum,Gelderland,Oost-Nederland
1043,Renswoude,Renswoude,Utrecht,West-Nederland
1044,Ressen,Lingewaard,Gelderland,Oost-Nederland
1045,Retranchement,Sluis,Zeeland,West-Nederland
1046,Reusel,Reusel-DeMierden,Noord-Brabant,Zuid-Nederland
1047,Reutum,Tubbergen,Overijssel,Oost-Nederland
1048,Reuver,Beesel,Limburg,Zuid-Nederland
1049,Rha,Bronckhorst,Gelderland,Oost-Nederland
1050,Rheden,Rheden,Gelderland,Oost-Nederland
1051,Rhee,Assen,Drenthe,Noord-Nederland
1052,Rheeze,Hardenberg,Overijssel,Oost-Nederland
1053,Rheezerveen,Hardenberg,Overijssel,Oost-Nederland
1054,Rhenen,Rhenen,Utrecht,West-Nederland
1055,Rhenoy,WestBetuwe,Gelderland,Oost-Nederland
1056,Rhoon,Albrandswaard,Zuid-Holland,West-Nederland
1057,Ridderkerk,Ridderkerk,Zuid-Holland,West-Nederland
1058,Ried,Waadhoeke,Friesland,Noord-Nederland
1059,Riel,Goirle,Noord-Brabant,Zuid-Nederland
1060,Rien,Súdwest-Fryslân,Friesland,Noord-Nederland
1061,Riethoven,Bergeijk,Noord-Brabant,Zuid-Nederland
1062,Rietmolen,Berkelland,Gelderland,Oost-Nederland
1063,Rijen,GilzeenRijen,Noord-Brabant,Zuid-Nederland
1064,Rijkevoort,Boxmeer,Noord-Brabant,Zuid-Nederland
1065,Rijkevoort-De Walsert,SintAnthonis,Noord-Brabant,Zuid-Nederland
1066,Rijnsaterwoude,KaagenBraassem,Zuid-Holland,West-Nederland
1067,Rijnsburg,Katwijk,Zuid-Holland,West-Nederland
1068,De Rijp,Alkmaar,Noord-Holland,West-Nederland
1069,Rijpwetering,KaagenBraassem,Zuid-Holland,West-Nederland
1070,Rijs,DeFryskeMarren,Friesland,Noord-Nederland
1071,Rijsbergen,Zundert,Noord-Brabant,Zuid-Nederland
1072,Rijsenhout,Haarlemmermeer,Noord-Holland,West-Nederland
1073,Rijssen,Rijssen-Holten,Overijssel,Oost-Nederland
1074,Rijswijk,Rijswijk,Zuid-Holland,West-Nederland
1075,Rijswijk (GLD),Buren,Gelderland,Oost-Nederland
1076,Rijswijk (NB),Altena,Noord-Brabant,Zuid-Nederland
1077,Rilland,Reimerswaal,Zeeland,West-Nederland
1078,Rinsumageast,Dantumadiel,Friesland,Noord-Nederland
1079,De Rips,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
1080,Ritthem,Vlissingen,Zeeland,West-Nederland
1081,Rockanje,Westvoorne,Zuid-Holland,West-Nederland
1082,Roden,Noordenveld,Drenthe,Noord-Nederland
1083,Roderesch,Noordenveld,Drenthe,Noord-Nederland
1084,Roderwolde,Noordenveld,Drenthe,Noord-Nederland
1085,Roelofarendsveen,KaagenBraassem,Zuid-Holland,West-Nederland
1086,Roermond,Roermond,Limburg,Zuid-Nederland
1087,Rogat,Meppel,Drenthe,Noord-Nederland
1088,Roggel,Leudal,Limburg,Zuid-Nederland
1089,Rohel,DeFryskeMarren,Friesland,Noord-Nederland
1090,Rolde,AaenHunze,Drenthe,Noord-Nederland
1091,Roodeschool,HetHogeland,Groningen,Noord-Nederland
1092,Roosendaal,Roosendaal,Noord-Brabant,Zuid-Nederland
1093,Roosteren,Echt-Susteren,Limburg,Zuid-Nederland
1094,Rosmalen,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland
1095,Rossum,Dinkelland,Overijssel,Oost-Nederland
1096,Rossum,Maasdriel,Gelderland,Oost-Nederland
1097,Roswinkel,Emmen,Drenthe,Noord-Nederland
1098,Rotstergaast,DeFryskeMarren,Friesland,Noord-Nederland
1099,Rotsterhaule,DeFryskeMarren,Friesland,Noord-Nederland
1100,Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
1101,Rotterdam-Albrandswaard,Albrandswaard,Zuid-Holland,West-Nederland
1102,Rottevalle,Smallingerland,Friesland,Noord-Nederland
1103,Rottum,HetHogeland,Groningen,Noord-Nederland
1104,Rottum,DeFryskeMarren,Friesland,Noord-Nederland
1105,Rouveen,Staphorst,Overijssel,Oost-Nederland
1106,Rozenburg,Rotterdam,Zuid-Holland,West-Nederland
1107,Rozenburg,Haarlemmermeer,Noord-Holland,West-Nederland
1108,Rozendaal,Rozendaal,Gelderland,Oost-Nederland
1109,Rucphen,Rucphen,Noord-Brabant,Zuid-Nederland
1110,Bron: CBS,,,
1111,Holthees,Boxmeer,Noord-Brabant,Zuid-Nederland
1112,Holtheme,Hardenberg,Overijssel,Oost-Nederland
1113,Holthone,Hardenberg,Overijssel,Oost-Nederland
1114,Holtum,Sittard-Geleen,Limburg,Zuid-Nederland
1115,Holwerd,Noardeast-Fryslân,Friesland,Noord-Nederland
1116,Holwierde,Delfzijl,Groningen,Noord-Nederland
1117,Hommerts,Súdwest-Fryslân,Friesland,Noord-Nederland
1118,Homoet,Overbetuwe,Gelderland,Oost-Nederland
1119,Honselersdijk,Westland,Zuid-Holland,West-Nederland
1120,Hoofddorp,Haarlemmermeer,Noord-Holland,West-Nederland
1121,Hoofdplaat,Sluis,Zeeland,West-Nederland
1122,Hoog Soeren,Apeldoorn,Gelderland,Oost-Nederland
1123,Hoogblokland,Molenlanden,Zuid-Holland,West-Nederland
1124,Hooge Mierde,Reusel-DeMierden,Noord-Brabant,Zuid-Nederland
1125,Hooge Zwaluwe,Drimmelen,Noord-Brabant,Zuid-Nederland
1126,Hoogeloon,Bladel,Noord-Brabant,Zuid-Nederland
1127,Hoogenweg,Hardenberg,Overijssel,Oost-Nederland
1128,Hoogerheide,Woensdrecht,Noord-Brabant,Zuid-Nederland
1129,Hoogersmilde,Westerveld,Drenthe,Noord-Nederland
1130,Hoogersmilde,Midden-Drenthe,Drenthe,Noord-Nederland
1131,Hoogeveen,Hoogeveen,Drenthe,Noord-Nederland
1132,Hoogezand,Midden-Groningen,Groningen,Noord-Nederland
1133,Hooghalen,Midden-Drenthe,Drenthe,Noord-Nederland
1134,Hoogkarspel,Drechterland,Noord-Holland,West-Nederland
1135,Hoog-Keppel,Bronckhorst,Gelderland,Oost-Nederland
1136,Hoogland,Amersfoort,Utrecht,West-Nederland
1137,Hooglanderveen,Amersfoort,Utrecht,West-Nederland
1138,Hoogmade,KaagenBraassem,Zuid-Holland,West-Nederland
1139,Hoogvliet Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
1140,Hoogwoud,Opmeer,Noord-Holland,West-Nederland
1141,Hoorn,Terschelling,Friesland,Noord-Nederland
1142,Hoorn,Hoorn,Noord-Holland,West-Nederland
1143,Den Hoorn,Midden-Delfland,Zuid-Holland,West-Nederland
1144,Den Hoorn,Texel,Noord-Holland,West-Nederland
1145,Hoornaar,Molenlanden,Zuid-Holland,West-Nederland
1146,Hoornsterzwaag,Heerenveen,Friesland,Noord-Nederland
1147,Horn,Leudal,Limburg,Zuid-Nederland
1148,Den Horn,Westerkwartier,Groningen,Noord-Nederland
1149,Hornhuizen,HetHogeland,Groningen,Noord-Nederland
1150,Horssen,Druten,Gelderland,Oost-Nederland
1151,Horst,HorstaandeMaas,Limburg,Zuid-Nederland
1152,Den Hout,Oosterhout,Noord-Brabant,Zuid-Nederland
1153,Houten,Houten,Utrecht,West-Nederland
1154,Houtigehage,Smallingerland,Friesland,Noord-Nederland
1155,Houwerzijl,HetHogeland,Groningen,Noord-Nederland
1156,Huijbergen,Woensdrecht,Noord-Brabant,Zuid-Nederland
1157,Huis ter Heide,Zeist,Utrecht,West-Nederland
1158,Huis ter Heide,Noordenveld,Drenthe,Noord-Nederland
1159,Huisduinen,DenHelder,Noord-Holland,West-Nederland
1160,Huisseling,Oss,Noord-Brabant,Zuid-Nederland
1161,Huissen,Lingewaard,Gelderland,Oost-Nederland
1162,Huizen,Huizen,Noord-Holland,West-Nederland
1163,Huizinge,Loppersum,Groningen,Noord-Nederland
1164,Hulsberg,Beekdaelen,Limburg,Zuid-Nederland
1165,Hulsel,Reusel-DeMierden,Noord-Brabant,Zuid-Nederland
1166,Hulshorst,Nunspeet,Gelderland,Oost-Nederland
1167,Hulst,Hulst,Zeeland,West-Nederland
1168,Hulten,GilzeenRijen,Noord-Brabant,Zuid-Nederland
1169,Hummelo,Bronckhorst,Gelderland,Oost-Nederland
1170,Húns,Leeuwarden,Friesland,Noord-Nederland
1171,Hunsel,Leudal,Limburg,Zuid-Nederland
1172,Hurdegaryp,Tytsjerksteradiel,Friesland,Noord-Nederland
1173,Hurwenen,Maasdriel,Gelderland,Oost-Nederland
1174,Idaerd,Leeuwarden,Friesland,Noord-Nederland
1175,Idsegahuizum,Súdwest-Fryslân,Friesland,Noord-Nederland
1176,Idskenhuizen,DeFryskeMarren,Friesland,Noord-Nederland
1177,Ter Idzard,Weststellingwerf,Friesland,Noord-Nederland
1178,Idzega,Súdwest-Fryslân,Friesland,Noord-Nederland
1179,Iens,Súdwest-Fryslân,Friesland,Noord-Nederland
1180,IJhorst,Staphorst,Overijssel,Oost-Nederland
1181,IJlst,Súdwest-Fryslân,Friesland,Noord-Nederland
1182,IJmuiden,Velsen,Noord-Holland,West-Nederland
1183,IJsselham,Steenwijkerland,Overijssel,Oost-Nederland
1184,IJsselmuiden,Kampen,Overijssel,Oost-Nederland
1185,IJsselstein,IJsselstein,Utrecht,West-Nederland
1186,IJzendijke,Sluis,Zeeland,West-Nederland
1187,IJzendoorn,Neder-Betuwe,Gelderland,Oost-Nederland
1188,Den Ilp,Landsmeer,Noord-Holland,West-Nederland
1189,Ilpendam,Waterland,Noord-Holland,West-Nederland
1190,Indijk,Súdwest-Fryslân,Friesland,Noord-Nederland
1191,Ingber,Gulpen-Wittem,Limburg,Zuid-Nederland
1192,Ingelum,Waadhoeke,Friesland,Noord-Nederland
1193,Ingen,Buren,Gelderland,Oost-Nederland
1194,Itens,Súdwest-Fryslân,Friesland,Noord-Nederland
1195,Ittervoort,Leudal,Limburg,Zuid-Nederland
1196,Jaarsveld,Lopik,Utrecht,West-Nederland
1197,Jabeek,Beekdaelen,Limburg,Zuid-Nederland
1198,Jannum,Noardeast-Fryslân,Friesland,Noord-Nederland
1199,Jellum,Leeuwarden,Friesland,Noord-Nederland
1200,Jelsum,Leeuwarden,Friesland,Noord-Nederland
1201,Jirnsum,Leeuwarden,Friesland,Noord-Nederland
1202,Jislum,Noardeast-Fryslân,Friesland,Noord-Nederland
1203,Jisp,Wormerland,Noord-Holland,West-Nederland
1204,Jistrum,Tytsjerksteradiel,Friesland,Noord-Nederland
1205,Jonkerslân,Opsterland,Friesland,Noord-Nederland
1206,Jonkersvaart,Westerkwartier,Groningen,Noord-Nederland
1207,Joppe,Lochem,Gelderland,Oost-Nederland
1208,Jorwert,Leeuwarden,Friesland,Noord-Nederland
1209,Joure,DeFryskeMarren,Friesland,Noord-Nederland
1210,Jouswier,Noardeast-Fryslân,Friesland,Noord-Nederland
1211,Bron: CBS,,,
1212,Dieverbrug,Westerveld,Drenthe,Noord-Nederland
1213,Diffelen,Hardenberg,Overijssel,Oost-Nederland
1214,Dijken,DeFryskeMarren,Friesland,Noord-Nederland
1215,Dinteloord,Steenbergen,Noord-Brabant,Zuid-Nederland
1216,Dinxperlo,Aalten,Gelderland,Oost-Nederland
1217,Diphoorn,Coevorden,Drenthe,Noord-Nederland
1218,Dirkshorn,Schagen,Noord-Holland,West-Nederland
1219,Dirksland,Goeree-Overflakkee,Zuid-Holland,West-Nederland
1220,Dodewaard,Neder-Betuwe,Gelderland,Oost-Nederland
1221,Doenrade,Beekdaelen,Limburg,Zuid-Nederland
1222,Doesburg,Doesburg,Gelderland,Oost-Nederland
1223,Doetinchem,Doetinchem,Gelderland,Oost-Nederland
1224,Doeveren,Heusden,Noord-Brabant,Zuid-Nederland
1225,Doezum,Westerkwartier,Groningen,Noord-Nederland
1226,Dokkum,Noardeast-Fryslân,Friesland,Noord-Nederland
1227,Den Dolder,Zeist,Utrecht,West-Nederland
1228,Doldersum,Westerveld,Drenthe,Noord-Nederland
1229,Domburg,Veere,Zeeland,West-Nederland
1230,Donderen,Tynaarlo,Drenthe,Noord-Nederland
1231,Dongen,Dongen,Noord-Brabant,Zuid-Nederland
1232,Dongjum,Waadhoeke,Friesland,Noord-Nederland
1233,Doniaga,DeFryskeMarren,Friesland,Noord-Nederland
1234,Donkerbroek,Ooststellingwerf,Friesland,Noord-Nederland
1235,Doorn,UtrechtseHeuvelrug,Utrecht,West-Nederland
1236,Doornenburg,Lingewaard,Gelderland,Oost-Nederland
1237,Doornspijk,Elburg,Gelderland,Oost-Nederland
1238,Doorwerth,Renkum,Gelderland,Oost-Nederland
1239,Dordrecht,Dordrecht,Zuid-Holland,West-Nederland
1240,Dorst,Oosterhout,Noord-Brabant,Zuid-Nederland
1241,Drachten,Smallingerland,Friesland,Noord-Nederland
1242,Drachten-Azeven,Opsterland,Friesland,Noord-Nederland
1243,Drachtstercompagnie,Smallingerland,Friesland,Noord-Nederland
1244,Dreischor,Schouwen-Duiveland,Zeeland,West-Nederland
1245,Drempt,Bronckhorst,Gelderland,Oost-Nederland
1246,Dreumel,WestMaasenWaal,Gelderland,Oost-Nederland
1247,Driebergen-Rijsenburg,UtrechtseHeuvelrug,Utrecht,West-Nederland
1248,Drieborg,Oldambt,Groningen,Noord-Nederland
1249,Driebruggen,Bodegraven-Reeuwijk,Zuid-Holland,West-Nederland
1250,Driehuis NH,Velsen,Noord-Holland,West-Nederland
1251,Driehuizen,Alkmaar,Noord-Holland,West-Nederland
1252,Driel,Overbetuwe,Gelderland,Oost-Nederland
1253,Driewegen,Borsele,Zeeland,West-Nederland
1254,Driezum,Dantumadiel,Friesland,Noord-Nederland
1255,Drijber,Midden-Drenthe,Drenthe,Noord-Nederland
1256,Drimmelen,Drimmelen,Noord-Brabant,Zuid-Nederland
1257,Drogeham,Achtkarspelen,Friesland,Noord-Nederland
1258,Drogteropslagen,DeWolden,Drenthe,Noord-Nederland
1259,Drongelen,Altena,Noord-Brabant,Zuid-Nederland
1260,Dronryp,Waadhoeke,Friesland,Noord-Nederland
1261,Dronten,Dronten,Flevoland,Oost-Nederland
1262,Drouwen,Borger-Odoorn,Drenthe,Noord-Nederland
1263,Drouwenermond,Borger-Odoorn,Drenthe,Noord-Nederland
1264,Drouwenerveen,Borger-Odoorn,Drenthe,Noord-Nederland
1265,Drunen,Heusden,Noord-Brabant,Zuid-Nederland
1266,Druten,Druten,Gelderland,Oost-Nederland
1267,Duiven,Duiven,Gelderland,Oost-Nederland
1268,Duivendrecht,Ouder-Amstel,Noord-Holland,West-Nederland
1269,Duizel,Eersel,Noord-Brabant,Zuid-Nederland
1270,Den Dungen,Sint-Michielsgestel,Noord-Brabant,Zuid-Nederland
1271,Dussen,Altena,Noord-Brabant,Zuid-Nederland
1272,Dwingeloo,Westerveld,Drenthe,Noord-Nederland
1273,Eagum,Leeuwarden,Friesland,Noord-Nederland
1274,Earnewâld,Tytsjerksteradiel,Friesland,Noord-Nederland
1275,Easterein,Súdwest-Fryslân,Friesland,Noord-Nederland
1276,Easterlittens,Leeuwarden,Friesland,Noord-Nederland
1277,Eastermar,Tytsjerksteradiel,Friesland,Noord-Nederland
1278,Easterwierrum,Súdwest-Fryslân,Friesland,Noord-Nederland
1279,Echt,Echt-Susteren,Limburg,Zuid-Nederland
1280,Echteld,Neder-Betuwe,Gelderland,Oost-Nederland
1281,Echten,DeWolden,Drenthe,Noord-Nederland
1282,Echten,DeFryskeMarren,Friesland,Noord-Nederland
1283,Echtenerbrug,DeFryskeMarren,Friesland,Noord-Nederland
1284,Eck en Wiel,Buren,Gelderland,Oost-Nederland
1285,Eckelrade,Eijsden-Margraten,Limburg,Zuid-Nederland
1286,Edam,Edam-Volendam,Noord-Holland,West-Nederland
1287,Ede,Ede,Gelderland,Oost-Nederland
1288,Ederveen,Ede,Gelderland,Oost-Nederland
1289,Ee,Noardeast-Fryslân,Friesland,Noord-Nederland
1290,Eede,Sluis,Zeeland,West-Nederland
1291,Eefde,Lochem,Gelderland,Oost-Nederland
1292,Eelde,Tynaarlo,Drenthe,Noord-Nederland
1293,Eelderwolde,Tynaarlo,Drenthe,Noord-Nederland
1294,Eemdijk,Bunschoten,Utrecht,West-Nederland
1295,Eemnes,Eemnes,Utrecht,West-Nederland
1296,Eemshaven,HetHogeland,Groningen,Noord-Nederland
1297,Een,Noordenveld,Drenthe,Noord-Nederland
1298,Eenrum,HetHogeland,Groningen,Noord-Nederland
1299,Eenum,Loppersum,Groningen,Noord-Nederland
1300,Een-West,Noordenveld,Drenthe,Noord-Nederland
1301,Eerbeek,Brummen,Gelderland,Oost-Nederland
1302,Eersel,Eersel,Noord-Brabant,Zuid-Nederland
1303,Ees,Borger-Odoorn,Drenthe,Noord-Nederland
1304,Eesergroen,Borger-Odoorn,Drenthe,Noord-Nederland
1305,Eeserveen,Borger-Odoorn,Drenthe,Noord-Nederland
1306,Eesterga,DeFryskeMarren,Friesland,Noord-Nederland
1307,Eesveen,Steenwijkerland,Overijssel,Oost-Nederland
1308,Eethen,Altena,Noord-Brabant,Zuid-Nederland
1309,Eext,AaenHunze,Drenthe,Noord-Nederland
1310,Eexterveen,AaenHunze,Drenthe,Noord-Nederland
1311,Eexterveenschekanaal,AaenHunze,Drenthe,Noord-Nederland
1312,Bron: CBS,,,
1313,Numansdorp,HoekscheWaard,Zuid-Holland,West-Nederland
1314,Nunhem,Leudal,Limburg,Zuid-Nederland
1315,Nunspeet,Nunspeet,Gelderland,Oost-Nederland
1316,Nuth,Beekdaelen,Limburg,Zuid-Nederland
1317,Nutter,Dinkelland,Overijssel,Oost-Nederland
1318,Obbicht,Sittard-Geleen,Limburg,Zuid-Nederland
1319,Obdam,Koggenland,Noord-Holland,West-Nederland
1320,Ochten,Neder-Betuwe,Gelderland,Oost-Nederland
1321,Odijk,Bunnik,Utrecht,West-Nederland
1322,Odiliapeel,Uden,Noord-Brabant,Zuid-Nederland
1323,Odoorn,Borger-Odoorn,Drenthe,Noord-Nederland
1324,Odoornerveen,Borger-Odoorn,Drenthe,Noord-Nederland
1325,Oeffelt,Boxmeer,Noord-Brabant,Zuid-Nederland
1326,Oegstgeest,Oegstgeest,Zuid-Holland,West-Nederland
1327,Oene,Epe,Gelderland,Oost-Nederland
1328,Oentsjerk,Tytsjerksteradiel,Friesland,Noord-Nederland
1329,Den Oever,HollandsKroon,Noord-Holland,West-Nederland
1330,Offingawier,Súdwest-Fryslân,Friesland,Noord-Nederland
