;Woonplaatsen;Provincie;Landsdeel;Gemeente;Lattitude;Longitude;Population;Coordinates;L1;l2;L3;Lat;L1.1;L1.2;L.1.3;Long;
1012;Kantens;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.36666666666667;6.633333333333333;625 (1.453 inw./km²);['53° 22′ NB, 6° 38′ OL'];;;;0;;;;0;
1038;Kiel-Windeweer;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.11666666666667;6.766666666666667;870;['53° 7′ NB, 6° 46′ OL'];;;;0;;;;0;
1055;Kloosterburen;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.38333333333333;6.383333333333334;1.355 (11 inw./km²);['53° 23′ NB, 6° 23′ OL'];;;;0;;;;0;
1069;Kolham;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.18333333333333;6.75;1.340;['53° 11′ NB, 6° 45′ OL'];;;;0;;;;0;
1074;Kommerzijl;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.28333333333333;6.316666666666666;510;['53° 17′ NB, 6° 19′ OL'];;;;0;;;;0;
1082;Kornhorn;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.18333333333333;6.25;495 (1.010 inw./km²);['53° 11′ NB, 6° 15′ OL'];;;;0;;;;0;
1094;Krewerd;Groningen;Noord-Nederland          ;Delfzijl                           ;53.35;6.85;80;['53° 21′ NB, 6° 51′ OL'];;;;0;;;;0;
1101;Kropswolde;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.15;6.716666666666667;1.640;['53° 9′ NB, 6° 43′ OL'];;;;0;;;;0;
1118;Lageland;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.233333333333334;6.716666666666667;140;['53° 14′ NB, 6° 43′ OL'];;;;0;;;;0;
1119;Lageland GN;Groningen;Noord-Nederland          ;Groningen                          ;;;nvt;;;;;0;;;;0;
1140;Lauwersoog;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.4;6.216666666666667;155;['53° 24′ NB, 6° 13′ OL'];;;;0;;;;0;
1141;Lauwerzijl;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.31666666666667;6.3;210;['53° 19′ NB, 6° 18′ OL'];;;;0;;;;0;
1143;Leek;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.166666666666664;6.383333333333334;11.260;['53° 10′ NB, 6° 23′ OL'];;;;0;;;;0;
1145;Leens;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.36666666666667;6.383333333333334;1.990 (56 inw./km²);['53° 22′ NB, 6° 23′ OL'];;;;0;;;;0;
1148;Leermens;Groningen;Noord-Nederland          ;Loppersum                          ;53.35;6.8;195;['53° 21′ NB, 6° 48′ OL'];;;;0;;;;0;
1159;Lellens;Groningen;Noord-Nederland          ;Groningen                          ;53.3;6.716666666666667;85;['53° 18′ NB, 6° 43′ OL'];;;;0;;;;0;
1169;Lettelbert;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.18333333333333;6.4;160;['53° 11′ NB, 6° 24′ OL'];;;;0;;;;0;
1226;Loppersum;Groningen;Noord-Nederland          ;Loppersum                          ;53.333333333333336;6.75;2.485;['53° 20′ NB, 6° 45′ OL'];;;;0;;;;0;
1227;Losdorp;Groningen;Noord-Nederland          ;Delfzijl                           ;53.38333333333333;6.833333333333333;145;['53° 23′ NB, 6° 50′ OL'];;;;0;;;;0;
1230;Lucaswolde;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.18333333333333;6.3;195 (40 inw./km²);['53° 11′ NB, 6° 18′ OL'];;;;0;;;;0;
1231;Luddeweer;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.25;6.733333333333333;55;['53° 15′ NB, 6° 44′ OL'];;;;0;;;;0;
1235;Lutjegast;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.233333333333334;6.25;1.120 (918 inw./km²);['53° 14′ NB, 6° 15′ OL'];;;;0;;;;0;
1285;Marum;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.15;6.266666666666667;5.785 (1.269 inw./km²);['53° 9′ NB, 6° 16′ OL'];;;;0;;;;0;
1293;Meeden;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.13333333333333;6.933333333333334;1.680 (587 inw./km²);['53° 8′ NB, 6° 56′ OL'];;;;0;;;;0;
1294;Meedhuizen;Groningen;Noord-Nederland          ;Delfzijl                           ;53.28333333333333;6.916666666666667;845;['53° 17′ NB, 6° 55′ OL'];;;;0;;;;0;
1299;Meerstad;Groningen;Noord-Nederland          ;Groningen                          ;53.21666666666667;6.65;1.130;['53° 13′ NB, 6° 39′ OL'];;;;0;;;;0;
1309;Mensingeweer;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.35;6.466666666666667;140 (560 inw./km²);['53° 21′ NB, 6° 28′ OL'];;;;0;;;;0;
1322;Middelstum;Groningen;Noord-Nederland          ;Loppersum                          ;53.35;6.633333333333333;2.245;['53° 21′ NB, 6° 38′ OL'];;;;0;;;;0;
1328;Midwolda;Groningen;Noord-Nederland          ;Oldambt                            ;53.2;7.016666666666667;2.175 (618 inw./km²);['53° 12′ NB, 7° 1′ OL'];;;;0;;;;0;
1329;Midwolde;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.18333333333333;6.4;185;['53° 11′ NB, 6° 24′ OL'];;;;0;;;;0;
1368;Muntendam;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.13333333333333;6.866666666666667;4.670 (1.962 inw./km²);['53° 8′ NB, 6° 52′ OL'];;;;0;;;;0;
1369;Mussel;Groningen;Noord-Nederland          ;Stadskanaal                        ;52.95;7.033333333333333;1.250;['52° 57′ NB, 7° 2′ OL'];;;;0;;;;0;
1370;Musselkanaal;Groningen;Noord-Nederland          ;Stadskanaal                        ;52.93333333333333;7.016666666666667;7.005;['52° 56′ NB, 7° 1′ OL'];;;;0;;;;0;
1394;Niebert;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.166666666666664;6.333333333333333;740 (175 inw./km²);['53° 10′ NB, 6° 20′ OL'];;;;0;;;;0;
1395;Niehove;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.28333333333333;6.366666666666666;135;['53° 17′ NB, 6° 22′ OL'];;;;0;;;;0;
1396;Niekerk;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.21666666666667;6.35;1.385 (1.358 inw./km²);['53° 13′ NB, 6° 21′ OL'];;;;0;;;;0;
1397;Niekerk;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.35;6.333333333333333;45 (196 inw./km²);['53° 21′ NB, 6° 20′ OL'];;;;0;;;;0;
1400;Nieuw Beerta;Groningen;Noord-Nederland          ;Oldambt                            ;;;110;53° 11′ NB, 7° 10′ OL;;;;0;;;;0;
1404;Nieuw Scheemda;Groningen;Noord-Nederland          ;Oldambt                            ;;;340;53° 13′ NB, 6° 57′ OL;;;;0;;;;0;
1413;Nieuwe Pekela;Groningen;Noord-Nederland          ;Pekela                             ;;;4535;53° 6′ NB, 7° 0′ OL;;;;0;;;;0;
1436;Nieuwolda;Groningen;Noord-Nederland          ;Oldambt                            ;;;1370;53° 15′ NB, 6° 59′ OL;;;;0;;;;0;
1446;Niezijl;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.266666666666666;6.333333333333333;410;['53° 16′ NB, 6° 20′ OL'];;;;0;;;;0;
1476;Noordbroek;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.2;6.866666666666667;1.880;['53° 12′ NB, 6° 52′ OL'];;;;0;;;;0;
1483;Noordhorn;Groningen;Noord-Nederland          ;Westerkwartier                     ;;;1.370;53° 16′ NB, 6° 24′ OL;;;;0;;;;0;
1484;Noordlaren;Groningen;Noord-Nederland          ;Groningen                          ;53.11666666666667;6.666666666666667;695;['53° 7′ NB, 6° 40′ OL'];;;;0;;;;0;
1489;Noordwijk;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.166666666666664;6.25;430 (1.194 inw./km²);['53° 10′ NB, 6° 15′ OL'];;;;0;;;;0;
1492;Noordwolde;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.266666666666666;6.583333333333333;270 (44 inw./km²);['53° 16′ NB, 6° 35′ OL'];;;;0;;;;0;
1498;Nuis;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.15;6.3;680 (209 inw./km²);['53° 9′ NB, 6° 18′ OL'];;;;0;;;;0;
1530;Oldehove;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.3;6.4;1.670;['53° 18′ NB, 6° 24′ OL'];;;;0;;;;0;
1531;Oldekerk;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.21666666666667;6.333333333333333;1.515 (1.612 inw./km²);['53° 13′ NB, 6° 20′ OL'];;;;0;;;;0;
1535;Oldenzijl;Groningen;Noord-Nederland          ;Het Hogeland                       ;;;45;53° 24′ NB, 6° 43′ OL;;;;0;;;;0;
1543;Onderdendam;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.583333333333333;585 (98 inw./km²);['53° 20′ NB, 6° 35′ OL'];;;;0;;;;0;
1545;Onnen;Groningen;Noord-Nederland          ;Groningen                          ;53.15;6.633333333333333;770;['53° 9′ NB, 6° 38′ OL'];;;;0;;;;0;
1546;Onstwedde;Groningen;Noord-Nederland          ;Stadskanaal                        ;;;2900;53° 2′ NB, 7° 2′ OL;;;;0;;;;0;
1563;Oosternieland;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.416666666666664;6.8;100 (270 inw./km²);['53° 25′ NB, 6° 48′ OL'];;;;0;;;;0;
1567;Oosterwijtwerd;Groningen;Noord-Nederland          ;Loppersum                          ;53.333333333333336;6.816666666666666;160;['53° 20′ NB, 6° 49′ OL'];;;;0;;;;0;
1580;Oostwold;Groningen;Noord-Nederland          ;Oldambt                            ;;;1405;53° 12′ NB, 7° 3′ OL;;;;0;;;;0;
1581;Oostwold;Groningen;Noord-Nederland          ;Westerkwartier                     ;;;670;53° 12′ NB, 6° 26′ OL;;;;0;;;;0;
1586;Opende;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.166666666666664;6.2;2.600 (172 inw./km²);['53° 10′ NB, 6° 12′ OL'];;;;0;;;;0;
1617;Oude Pekela;Groningen;Noord-Nederland          ;Pekela                             ;;;7675;53° 6′ NB, 7° 0′ OL;;;;0;;;;0;
1635;Oudeschans;Groningen;Noord-Nederland          ;Westerwolde                        ;53.13333333333333;7.133333333333334;150;['53° 8′ NB, 7° 8′ OL'];;;;0;;;;0;
1637;Oudeschip;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.43333333333333;6.816666666666666;115;['53° 26′ NB, 6° 49′ OL'];;;;0;;;;0;
1642;Oudezijl;Groningen;Noord-Nederland          ;Oldambt                            ;;;nvt;;;;;0;;;;0;
1657;Overschild;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.28333333333333;6.783333333333333;525;['53° 17′ NB, 6° 47′ OL'];;;;0;;;;0;
1683;Pieterburen;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.4;6.45;435;['53° 24′ NB, 6° 27′ OL'];;;;0;;;;0;
1685;Pieterzijl;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.28333333333333;6.266666666666667;160;['53° 17′ NB, 6° 16′ OL'];;;;0;;;;0;
1696;Ten Post;Groningen;Noord-Nederland          ;Groningen                          ;;;775;53° 18′ NB, 6° 44′ OL;;;;0;;;;0;
1719;Rasquert;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.36666666666667;6.516666666666667;160 (762 inw./km²);['53° 22′ NB, 6° 31′ OL'];;;;0;;;;0;
1781;Roodeschool;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.416666666666664;6.766666666666667;1.155 (1.925 inw./km²);['53° 25′ NB, 6° 46′ OL'];;;;0;;;;0;
1793;Rottum;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.38333333333333;6.616666666666667;90;['53° 23′ NB, 6° 37′ OL'];;;;0;;;;0;
1808;Saaksum;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.31666666666667;6.416666666666667;90;['53° 19′ NB, 6° 25′ OL'];;;;0;;;;0;
1810;Saaxumhuizen;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.38333333333333;6.483333333333333;15 (300 inw./km²);['53° 23′ NB, 6° 29′ OL'];;;;0;;;;0;
1815;Sappemeer;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.166666666666664;6.783333333333333;8.005;['53° 10′ NB, 6° 47′ OL'];;;;0;;;;0;
1818;Sauwerd;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.3;6.533333333333333;1.325 (4.015 inw./km²);['53° 18′ NB, 6° 32′ OL'];;;;0;;;;0;
1827;Scharmer;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.2;6.7;485 (264 inw./km²);['53° 12′ NB, 6° 42′ OL'];;;;0;;;;0;
1831;Scheemda;Groningen;Noord-Nederland          ;Oldambt                            ;53.166666666666664;6.966666666666667;4.970;['53° 10′ NB, 6° 58′ OL'];;;;0;;;;0;
1845;Schildwolde;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.233333333333334;6.816666666666666;1.700 (603 inw./km²);['53° 14′ NB, 6° 49′ OL'];;;;0;;;;0;
1864;Schouwerzijl;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.45;100 (714 inw./km²);['53° 20′ NB, 6° 27′ OL'];;;;0;;;;0;
1867;Sebaldeburen;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.21666666666667;6.283333333333333;585 (101 inw./km²);['53° 13′ NB, 6° 17′ OL'];;;;0;;;;0;
1868;Sellingen;Groningen;Noord-Nederland          ;Westerwolde                        ;52.95;7.15;2.610 (3.304 inw./km²);['52° 57′ NB, 7° 9′ OL'];;;;0;;;;0;
1877;Siddeburen;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.25;6.866666666666667;3.235 (1.030 inw./km²);['53° 15′ NB, 6° 52′ OL'];;;;0;;;;0;
1886;Sint Annen;Groningen;Noord-Nederland          ;Groningen                          ;;;190;53° 18′ NB, 6° 40′ OL;;;;0;;;;0;
1920;Slochteren;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.21666666666667;6.8;2.140;['53° 13′ NB, 6° 48′ OL'];;;;0;;;;0;
1952;Spijk;Groningen;Noord-Nederland          ;Delfzijl                           ;53.38333333333333;6.833333333333333;1.630;['53° 23′ NB, 6° 50′ OL'];;;;0;;;;0;
1961;Stadskanaal;Groningen;Noord-Nederland          ;Stadskanaal                        ;52.983333333333334;6.95;19.170;['52° 59′ NB, 6° 57′ OL'];;;;0;;;;0;
1966;Startenhuizen;Groningen;Noord-Nederland          ;Loppersum                          ;;;nvt;;;;;0;;;;0;
1967;Startenhuizen;Groningen;Noord-Nederland          ;Het Hogeland                       ;;;nvt;;;;;0;;;;0;
1970;Stedum;Groningen;Noord-Nederland          ;Loppersum                          ;53.31666666666667;6.7;1.090;['53° 19′ NB, 6° 42′ OL'];;;;0;;;;0;
1974;Steendam;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.28333333333333;6.833333333333333;195;['53° 17′ NB, 6° 50′ OL'];;;;0;;;;0;
1990;Stitswerd;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.36666666666667;6.6;60 (333 inw./km²);['53° 22′ NB, 6° 36′ OL'];;;;0;;;;0;
2026;Termunten;Groningen;Noord-Nederland          ;Delfzijl                           ;53.29611111111111;7.043888888888889;340 (586 inw./km²);"['53°17\'46""NB, 7°2\'38""OL']";;;;0;;;;0;
2027;Termunterzijl;Groningen;Noord-Nederland          ;Delfzijl                           ;53.301111111111105;7.033888888888889;295 (983 inw./km²);"['53°18\'4""NB, 7°2\'2""OL']";;;;0;;;;0;
2037;Thesinge;Groningen;Noord-Nederland          ;Groningen                          ;53.266666666666666;6.65;575;['53° 16′ NB, 6° 39′ OL'];;;;0;;;;0;
2050;Tinallinge;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.35;6.533333333333333;60 (462 inw./km²);['53° 21′ NB, 6° 32′ OL'];;;;0;;;;0;
2057;Tjuchem;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.28333333333333;6.883333333333333;275 (451 inw./km²);['53° 17′ NB, 6° 53′ OL'];;;;0;;;;0;
2058;Tolbert;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.166666666666664;6.366666666666666;4.455;['53° 10′ NB, 6° 22′ OL'];;;;0;;;;0;
2063;Toornwerd;Groningen;Noord-Nederland          ;Loppersum                          ;53.35;6.633333333333333;65;['53° 21′ NB, 6° 38′ OL'];;;;0;;;;0;
2066;Tripscompagnie;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.13333333333333;6.833333333333333;115;['53° 8′ NB, 6° 50′ OL'];;;;0;;;;0;
2090;Uithuizen;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.4;6.683333333333334;5.400 (1.459 inw./km²);['53° 24′ NB, 6° 41′ OL'];;;;0;;;;0;
2091;Uithuizermeeden;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.416666666666664;6.733333333333333;3.440 (1.515 inw./km²);['53° 25′ NB, 6° 44′ OL'];;;;0;;;;0;
2097;Ulrum;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.36666666666667;6.333333333333333;1.300 (46 inw./km²);['53° 22′ NB, 6° 20′ OL'];;;;0;;;;0;
2105;Usquert;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.4;6.616666666666667;1.365 (996 inw./km²);['53° 24′ NB, 6° 37′ OL'];;;;0;;;;0;
2120;Veelerveen;Groningen;Noord-Nederland          ;Westerwolde                        ;53.05;7.133333333333334;560;['53° 3′ NB, 7° 8′ OL'];;;;0;;;;0;
2122;Veendam;Groningen;Noord-Nederland          ;Veendam                            ;53.1;6.866666666666667;21.560;['53° 6′ NB, 6° 52′ OL'];;;;0;;;;0;
2156;Vierhuizen;Groningen;Noord-Nederland          ;Het Hogeland                       ;;;330;53° 22′ NB, 6° 17′ OL;;;;0;;;;0;
2167;Visvliet;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.266666666666666;6.25;290;['53° 16′ NB, 6° 15′ OL'];;;;0;;;;0;
2169;Vlagtwedde;Groningen;Noord-Nederland          ;Westerwolde                        ;;;3125;53° 2′ NB, 7° 7′ OL;;;;0;;;;0;
2172;Vledderveen;Groningen;Noord-Nederland          ;Stadskanaal                        ;52.983333333333334;7.0;290;['52° 59′ NB, 7° 0′ OL'];;;;0;;;;0;
2202;Vriescheloo;Groningen;Noord-Nederland          ;Westerwolde                        ;53.06666666666667;7.116666666666666;955;['53° 4′ NB, 7° 7′ OL'];;;;0;;;;0;
2215;'t Waar;Groningen;Noord-Nederland          ;Oldambt                            ;;;95;53° 14′ NB, 6° 57′ OL;;;;0;;;;0;
2226;Wagenborgen;Groningen;Noord-Nederland          ;Delfzijl                           ;53.25;6.933333333333334;1.675 (931 inw./km²);['53° 15′ NB, 6° 56′ OL'];;;;0;;;;0;
2240;Warffum;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.4;6.55;2.150 (1.569 inw./km²);['53° 24′ NB, 6° 33′ OL'];;;;0;;;;0;
2241;Warfhuizen;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.433333333333334;200 (645 inw./km²);['53° 20′ NB, 6° 26′ OL'];;;;0;;;;0;
2254;Waterhuizen;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.18333333333333;6.65;20;['53° 11′ NB, 6° 39′ OL'];;;;0;;;;0;
2258;Wedde;Groningen;Noord-Nederland          ;Westerwolde                        ;53.06666666666667;7.083333333333333;1.300;['53° 4′ NB, 7° 5′ OL'];;;;0;;;;0;
2263;Wehe-den Hoorn;Groningen;Noord-Nederland          ;Het Hogeland                       ;;;720;53° 22′ NB, 6° 25′ OL;;;;0;;;;0;
2288;Westerbroek;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.25;6.933333333333334;1.675 (931 inw./km²);['53° 15′ NB, 6° 56′ OL'];;;;0;;;;0;
2290;Westeremden;Groningen;Noord-Nederland          ;Loppersum                          ;53.4;6.55;2.150 (1.569 inw./km²);['53° 24′ NB, 6° 33′ OL'];;;;0;;;;0;
2295;Westerlee;Groningen;Noord-Nederland          ;Oldambt                            ;53.333333333333336;6.433333333333334;200 (645 inw./km²);['53° 20′ NB, 6° 26′ OL'];;;;0;;;;0;
2296;Westernieland;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.18333333333333;6.65;20;['53° 11′ NB, 6° 39′ OL'];;;;0;;;;0;
2299;Westerwijtwerd;Groningen;Noord-Nederland          ;Loppersum                          ;53.06666666666667;7.083333333333333;1.300;['53° 4′ NB, 7° 5′ OL'];;;;0;;;;0;
2312;Wetsinge;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.25;6.933333333333334;1.675 (931 inw./km²);['53° 15′ NB, 6° 56′ OL'];;;;0;;;;0;
2340;Wildervank;Groningen;Noord-Nederland          ;Veendam                            ;;;5485;53° 5′ NB, 6° 52′ OL;;;;0;;;;0;
2348;De Wilp;Groningen;Noord-Nederland          ;Westerkwartier                     ;;;1650;53° 7′ NB, 6° 15′ OL;;;;0;;;;0;
2353;Winneweer;Groningen;Noord-Nederland          ;Groningen                          ;53.31666666666667;6.75;100;['53° 19′ NB, 6° 45′ OL'];;;;0;;;;0;
2354;Winschoten;Groningen;Noord-Nederland          ;Oldambt                            ;53.13333333333333;7.033333333333333;17.850 (803 inw./km²);['53° 8′ NB, 7° 2′ OL'];;;;0;;;;0;
2357;Winsum;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.516666666666667;7.395;['53° 20′ NB, 6° 31′ OL'];;;;0;;;;0;
2369;Wirdum;Groningen;Noord-Nederland          ;Loppersum                          ;53.31666666666667;6.783333333333333;515;['53° 19′ NB, 6° 47′ OL'];;;;0;;;;0;
2384;Woldendorp;Groningen;Noord-Nederland          ;Delfzijl                           ;53.266666666666666;7.033333333333333;865 (698 inw./km²);['53° 16′ NB, 7° 2′ OL'];;;;0;;;;0;
2388;Woltersum;Groningen;Noord-Nederland          ;Groningen                          ;53.266666666666666;6.733333333333333;365;['53° 16′ NB, 6° 44′ OL'];;;;0;;;;0;
2396;Woudbloem;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.21666666666667;6.733333333333333;100;['53° 13′ NB, 6° 44′ OL'];;;;0;;;;0;
2417;Zandeweer;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.38333333333333;6.683333333333334;860 (2.000 inw./km²);['53° 23′ NB, 6° 41′ OL'];;;;0;;;;0;
2420;'t Zandt;Groningen;Noord-Nederland          ;Loppersum                          ;;;590;53° 22′ NB, 6° 46′ OL;;;;0;;;;0;
2425;Zeerijp;Groningen;Noord-Nederland          ;Loppersum                          ;53.35;6.766666666666667;760 (894 inw./km²);['53° 21′ NB, 6° 46′ OL'];;;;0;;;;0;
2444;Zevenhuizen;Groningen;Noord-Nederland          ;Westerkwartier                     ;;;2715;53° 7′ NB, 6° 21′ OL;;;;0;;;;0;
2449;Zijldijk;Groningen;Noord-Nederland          ;Loppersum                          ;53.4;6.75;180;['53° 24′ NB, 6° 45′ OL'];;;;0;;;;0;
2458;Zoutkamp;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.3;1.185;['53° 20′ NB, 6° 18′ OL'];;;;0;;;;0;
2460;Zuidbroek;Groningen;Noord-Nederland          ;Midden-Groningen                   ;53.166666666666664;6.866666666666667;3.595;['53° 10′ NB, 6° 52′ OL'];;;;0;;;;0;
2464;Zuidhorn;Groningen;Noord-Nederland          ;Westerkwartier                     ;53.25;6.4;7.950;['53° 15′ NB, 6° 24′ OL'];;;;0;;;;0;
2474;Zuidwolde;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.266666666666666;6.6;1.020 (132 inw./km²);['53° 16′ NB, 6° 36′ OL'];;;;0;;;;0;
2482;Zuurdijk;Groningen;Noord-Nederland          ;Het Hogeland                       ;53.333333333333336;6.383333333333334;105 (318 inw./km²);['53° 20′ NB, 6° 23′ OL'];;;;0;;;;0;
30;Afferden L;Limburg;Zuid-Nederland           ;Bergen (L.)                        ;;;2125;51° 38′ NB, 6° 1′ OL;;;;0;;;;0;
58;America;Limburg;Zuid-Nederland           ;Horst aan de Maas                  ;;;2030;51° 26′ NB, 5° 59′ OL;;;;0;;;;0;
65;Amstenrade;Limburg;Zuid-Nederland           ;Beekdaelen                         ;;;2700;50° 56′ NB, 5° 55′ OL;;;;0;;;;0;
92;Arcen;Limburg;Zuid-Nederland           ;Venlo                              ;;;2570;51° 29′ NB, 6° 11′ OL;;;;0;;;;0;
116;Baarlo;Limburg;Zuid-Nederland           ;Peel en Maas                       ;;;6515;51° 20′ NB, 6° 6′ OL;;;;0;;;;0;
124;Baexem;Limburg;Zuid-Nederland           ;Leudal                             ;;;2535;51° 14′ NB, 5° 53′ OL;;;;0;;;;0;
136;Baneheide;Limburg;Zuid-Nederland           ;Simpelveld                         ;;;150;50° 49′ NB, 5° 58′ OL;;;;0;;;;0;
137;Banholt;Limburg;Zuid-Nederland           ;Eijsden-Margraten                  ;;;1005;50° 47′ NB, 5° 49′ OL;;;;0;;;;0;
152;Beegden;Limburg;Zuid-Nederland           ;Maasgouw                           ;;;1750;51° 11′ NB, 5° 55′ OL;;;;0;;;;0;
154;Beek;Limburg;Zuid-Nederland           ;Beek                               ;;;8501;50° 56′ NB, 5° 48′ OL;;;;0;;;;0;
164;Beesel;Limburg;Zuid-Nederland           ;Beesel                             ;;;2475;51° 16′ NB, 6° 2′ OL;;;;0;;;;0;
169;Belfeld;Limburg;Zuid-Nederland           ;Venlo                              ;;;5540;"51°18'36""NB, 6°6'50""OL";;;;0;;;;0;
173;Bemelen;Limburg;Zuid-Nederland           ;Eijsden-Margraten                  ;;;560;50° 51′ NB, 5° 46′ OL;;;;0;;;;0;
185;Berg en Terblijt;Limburg;Zuid-Nederland           ;Valkenburg aan de Geul             ;;;3500;"50°51'40""NB, 5°47'4""OL";;;;0;;;;0;
190;Bergen L;Limburg;Zuid-Nederland           ;Bergen (L.)                        ;;;380;51° 36′ NB, 6° 2′ OL;;;;0;;;;0;
196;Beringe;Limburg;Zuid-Nederland           ;Peel en Maas                       ;;;2125;51° 20′ NB, 5° 57′ OL;;;;0;;;;0;
209;Beutenaken;Limburg;Zuid-Nederland           ;Gulpen-Wittem                      ;;;40;50° 47′ NB, 5° 51′ OL;;;;0;;;;0;
220;Bingelrade;Limburg;Zuid-Nederland           ;Beekdaelen                         ;;;820;50° 59′ NB, 5° 56′ OL;;;;0;;;;0;
235;Blitterswijck;Limburg;Zuid-Nederland           ;Venray                             ;;;1060;51° 32′ NB, 6° 6′ OL;;;;0;;;;0;
240;Bocholtz;Limburg;Zuid-Nederland           ;Simpelveld                         ;;;5110;50° 49′ NB, 6° 0′ OL;;;;0;;;;0;
260;Born;Limburg;Zuid-Nederland           ;Sittard-Geleen                     ;;;5920;51° 2′ NB, 5° 49′ OL;;;;0;;;;0;
295;Broekhuizen;Limburg;Zuid-Nederland           ;Horst aan de Maas                  ;;;775;51° 29′ NB, 6° 10′ OL;;;;0;;;;0;
297;Broekhuizenvorst;Limburg;Zuid-Nederland           ;Horst aan de Maas                  ;;;1050;51° 30′ NB, 6° 10′ OL;;;;0;;;;0;
310;Brunssum;Limburg;Zuid-Nederland           ;Brunssum                           ;;;27709;50°57'NB, 5°58'OL;;;;0;;;;0;
312;Buchten;Limburg;Zuid-Nederland           ;Sittard-Geleen                     ;;;1990;51° 3′ NB, 5° 49′ OL;;;;0;;;;0;
316;Buggenum;Limburg;Zuid-Nederland           ;Leudal                             ;;;945;51° 14′ NB, 5° 59′ OL;;;;0;;;;0;
